Date,Sell
2021-07-18,530.3099975585938
2021-08-29,558.9199829101562
2021-09-05,590.530029296875
2021-09-12,598.719970703125
2021-09-19,589.3499755859375
2021-10-03,613.1500244140625
2021-10-10,632.6599731445312
2021-10-17,628.2899780273438
2021-10-24,664.780029296875
2021-10-31,690.3099975585938
2021-11-07,645.719970703125
2022-10-23,289.57000732421875
2022-10-30,295.7200012207031
2022-11-06,260.7900085449219
2022-11-20,287.9800109863281
2022-12-04,320.4100036621094
2022-12-11,320.010009765625
2022-12-18,290.7099914550781
2023-01-29,360.7699890136719
2023-02-05,365.8999938964844
2023-05-21,365.3599853515625
2023-05-28,378.8800048828125
2023-06-04,400.4700012207031
2023-06-11,420.0199890136719
2023-06-18,431.9599914550781
2023-06-25,424.0199890136719
2023-07-02,440.489990234375
2023-07-23,427.5
2023-11-26,479.55999755859375
